Marital_Status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_(grade),Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,age_admission_ratio,Target_encoded
1,17,2,9238,1,1,115.0,19,38,7,8,-0.7586913632112152,1,0,0,1,0,0,,0.0,6.0,9.0,6.0,11.375,0.0,0.0,6.0,9.0,6.0,13.28571429,0.0,16.2,0.3,-0.92,0.0017686948817743045,1
1,1,1,9147,1,1,135.0,19,1,9,9,-0.3554920095338653,1,0,0,1,0,0,,0.0,5.0,6.0,5.0,12.0,0.0,0.0,5.0,6.0,5.0,12.33333333,0.0,16.2,0.3,-0.92,-0.32200105585732725,1
1,51,1,9070,1,1,125.0,42,3,125,124,0.2033281473172002,1,0,0,1,1,0,,0.0,6.0,7.0,6.0,12.83333333,0.0,0.0,6.0,9.0,4.0,13.4,0.0,8.9,1.4,3.51,-0.5160034094817026,1
1,18,1,8014,0,1,138.0,19,1,9,5,0.5216434265361614,1,0,0,1,0,0,,0.0,6.0,6.0,6.0,12.66666667,0.0,0.0,6.0,8.0,6.0,14.375,0.0,12.4,0.5,1.79,-0.7612291034753019,1
1,1,1,9991,0,1,130.0,2,37,3,9,0.30235956751865517,0,0,0,1,1,0,1.4371080958761733,0.0,5.0,6.0,5.0,12.4,0.0,0.0,5.0,9.0,5.0,13.42857143,0.0,13.9,-0.3,0.79,1.5285959287330917,1
1,39,1,33,1,1,130.0,38,37,9,6,-1.7419318923542289,0,0,1,0,1,0,1.4371080958761733,0.0,7.0,7.0,0.0,7.399999999999999,0.0,0.0,7.0,7.0,1.0,10.0,0.0,8.9,1.4,3.51,2.9504874262553127,0
1,39,1,9119,1,10,133.1,34,37,0,0,0.11844407285881138,1,0,0,1,1,0,1.4371080958761733,0.0,5.0,0.0,0.0,7.399999999999999,0.0,0.0,5.0,0.0,0.0,6.875000005,0.0,7.6,2.6,0.32,1.6303964413407324,0
1,43,1,9147,1,1,140.0,37,37,6,6,-0.2989026265616047,0,0,0,1,0,0,1.4371080958761733,0.0,5.0,10.0,1.0,10.0,0.0,0.0,5.0,8.0,2.0,12.0,0.0,16.2,0.3,-0.92,1.8773823129192484,0
4,39,1,9991,0,1,120.0,19,19,9,3,-0.935533184999527,1,0,0,1,0,0,1.4371080958761733,0.0,5.0,8.0,5.0,11.0,0.0,0.0,5.0,5.0,5.0,11.6,0.0,7.6,2.6,0.32,2.3034266014474203,1
1,44,1,9130,1,39,120.0,4,4,3,6,-0.5040391398360468,0,0,1,0,0,0,,0.0,6.0,13.0,3.0,11.66666667,0.0,0.0,6.0,11.0,3.0,12.0,0.0,12.4,0.5,1.79,-0.2661332894654976,0
1,1,5,9773,1,1,126.0,3,3,2,2,-0.42622873824919,0,0,1,1,0,0,,0.0,6.0,6.0,4.0,12.75,0.0,0.0,5.0,5.0,0.0,6.875000005,0.0,12.7,3.7,-1.7,-0.6175195936666513,0
1,1,2,9147,1,1,133.0,3,19,2,7,-0.47574444834991647,1,0,0,1,0,0,,0.0,5.0,5.0,5.0,14.8,0.0,0.0,5.0,5.0,5.0,15.8,0.0,8.9,1.4,3.51,0.04682696052157719,1
1,1,6,9500,1,1,103.0,1,3,2,2,-1.8763316769133462,1,1,0,1,0,0,,0.0,7.0,9.0,5.0,13.928,0.0,0.0,8.0,9.0,7.0,14.34285714,0.0,11.1,0.6,2.02,0.7477532213756067,1
1,17,1,9773,1,1,120.0,1,38,5,5,-0.40500771963459176,0,0,0,0,0,0,,0.0,6.0,7.0,4.0,13.0,0.0,0.0,6.0,7.0,5.0,13.8,0.0,12.4,0.5,1.79,-0.30359322508571956,0
1,39,1,9991,0,1,133.1,37,37,9,9,-1.2326274456038908,0,0,0,1,0,0,1.0774090991606662,0.0,5.0,0.0,0.0,7.399999999999999,0.0,0.0,5.0,0.0,0.0,6.875000005,0.0,16.2,0.3,-0.92,1.6378451364373834,0
1,17,2,9238,1,1,130.0,19,19,9,9,0.03355999840042054,1,0,0,1,0,0,,0.0,6.0,6.0,6.0,11.66666667,0.0,0.0,6.0,8.0,5.0,13.2,0.0,11.1,0.6,2.02,-0.7650902375856314,1
1,17,6,9500,1,1,132.0,37,19,7,7,0.3730962962339799,1,0,0,1,0,1,,0.0,7.0,8.0,6.0,13.51666667,0.0,0.0,8.0,9.0,7.0,13.77142857,0.0,11.1,0.6,2.02,-0.27594691955676826,1
1,44,1,8014,0,39,130.0,1,19,9,9,0.44383302494930454,0,0,0,1,0,1,,0.0,6.0,6.0,6.0,11.5,0.0,0.0,6.0,7.0,6.0,13.28571429,0.0,12.4,0.5,1.79,-0.4463244854591931,1
1,1,1,9238,1,1,139.0,37,38,9,9,-0.0725450946725665,0,0,0,1,0,1,,0.0,6.0,7.0,5.0,12.33333333,0.0,0.0,6.0,7.0,6.0,12.83333333,0.0,12.7,3.7,-1.7,-0.5778269443310728,1
1,39,1,9254,1,1,130.0,19,38,9,7,-0.9638278764856573,0,0,0,1,0,1,0.5063013476928101,0.0,6.0,6.0,6.0,13.66666667,0.0,0.0,6.0,6.0,6.0,14.16666667,0.0,12.4,0.5,1.79,0.6067610064501453,1
1,1,3,9130,1,1,162.5,37,37,90,90,2.2759142986762146,0,0,0,1,0,0,,0.0,5.0,7.0,5.0,14.71428571,0.0,0.0,5.0,5.0,5.0,15.8,0.0,7.6,2.6,0.32,-1.1898527726892474,1
1,39,1,9991,0,1,130.0,38,38,9,9,-0.5040391398360468,0,0,0,1,0,0,0.8938806643186445,0.0,5.0,12.0,5.0,10.6,0.0,0.0,5.0,10.0,5.0,11.0,0.0,9.4,-0.8,-3.12,0.8707757566082373,0
1,1,1,9500,1,1,130.0,1,19,5,5,0.13966509147340758,1,0,0,1,0,0,,0.0,7.0,9.0,7.0,13.04444444,0.0,0.0,8.0,10.0,8.0,13.595,0.0,15.5,2.8,-4.06,-0.7970347141010135,1
2,7,1,9254,1,3,130.0,1,3,4,3,0.2033281473172002,0,0,0,1,0,0,1.4371080958761733,0.0,6.0,10.0,0.0,7.399999999999999,0.0,0.0,6.0,6.0,0.0,6.875000005,0.0,12.4,0.5,1.79,1.5829055986544227,0
1,39,1,9130,1,40,129.0,3,3,2,2,1.9929673838149158,1,0,0,1,0,0,0.8938806643186445,0.0,6.0,9.0,5.0,13.0,0.0,0.0,10.0,13.0,10.0,12.9,0.0,12.4,0.5,1.79,-0.12599364069916485,0
1,17,1,9500,1,1,141.0,38,38,7,10,0.896548088727383,1,0,0,1,0,0,,0.0,8.0,8.0,8.0,14.935,0.0,0.0,8.0,8.0,8.0,14.935,0.0,9.4,-0.8,-3.12,-1.0050196100284396,1
1,1,2,9500,1,1,125.0,19,19,9,9,-0.8647964562842023,0,0,0,1,0,0,,0.0,7.0,8.0,6.0,13.13333333,0.0,0.0,8.0,12.0,7.0,12.22142857,0.0,16.2,0.3,-0.92,-0.4612016077026916,1
1,44,1,9238,1,39,130.0,19,1,9,9,0.33772793187631756,0,0,0,1,0,1,,0.0,6.0,7.0,6.0,12.0,0.0,0.0,6.0,7.0,6.0,12.0,0.0,13.9,-0.3,0.79,-0.4114330484135109,1
4,42,1,9500,1,19,133.1,1,1,5,5,-0.07961876754409858,1,0,0,1,1,0,1.0774090991606662,0.0,7.0,10.0,5.0,11.9,0.0,0.0,8.0,10.0,5.0,11.0,0.0,13.9,-0.3,0.79,0.9713187334719005,0
1,1,3,171,1,1,139.0,19,19,5,3,0.07600203562961495,1,0,0,1,1,1,,0.0,2.0,0.0,0.0,7.399999999999999,0.0,0.0,2.0,0.0,0.0,6.875000005,0.0,10.8,1.4,1.74,-0.6259306697696432,1
1,44,1,9003,1,39,130.0,19,37,9,9,0.2033281473172002,1,0,0,1,1,0,0.2746765228770512,0.0,6.0,8.0,6.0,12.57142857,0.0,0.0,6.0,7.0,6.0,12.42857143,0.0,8.9,1.4,3.51,-0.0662371934525329,1
1,1,3,9147,1,1,125.0,1,38,7,7,-0.49696546696451466,0,0,1,1,1,0,,0.0,5.0,8.0,5.0,11.2,0.0,0.0,5.0,10.0,4.0,10.75,0.0,16.2,0.3,-0.92,-0.43111830626220904,0
1,17,1,9500,1,1,150.0,37,19,8,4,0.25991753028946074,0,0,0,1,1,0,0.5063013476928101,0.0,7.0,8.0,7.0,11.975,0.0,0.0,8.0,8.0,8.0,13.75,0.0,13.9,-0.3,0.79,0.06167796890438639,1
1,1,1,171,1,1,141.0,19,19,5,10,0.6136011738660843,1,0,0,1,1,0,,0.0,2.0,0.0,0.0,7.399999999999999,0.0,0.0,2.0,0.0,0.0,6.875000005,0.0,15.5,2.8,-4.06,-0.7875853661414376,0
1,17,4,9254,1,1,118.0,38,37,5,7,-1.0911539881732415,1,0,0,1,1,0,,0.0,6.0,12.0,3.0,11.66666667,0.0,0.0,6.0,12.0,1.0,12.0,0.0,12.4,0.5,1.79,-0.3737317923551972,0
1,1,2,9773,1,1,142.0,38,38,9,9,0.4084646605916422,1,0,0,1,1,0,,0.0,6.0,8.0,6.0,12.33333333,0.0,0.0,6.0,11.0,3.0,12.33333333,0.0,10.8,1.4,1.74,-0.8747334237713343,1
1,17,3,9147,1,1,120.0,19,19,4,7,-0.8223544190550078,1,0,1,1,1,0,,0.0,5.0,8.0,3.0,10.33333333,0.0,0.0,5.0,11.0,3.0,10.85714286,0.0,10.8,1.4,1.74,-0.47706261155709945,0
1,18,4,9254,1,1,106.0,19,37,7,7,-1.4943533418505925,1,0,0,1,1,1,,0.0,6.0,8.0,4.0,10.5,0.0,0.0,6.0,11.0,1.0,11.0,0.0,9.4,-0.8,-3.12,0.3467556841591576,0
1,17,4,9773,1,1,121.0,1,19,9,8,-0.4828181212214495,1,0,1,1,1,1,,0.0,6.0,6.0,6.0,13.66666667,0.0,0.0,6.0,6.0,6.0,13.33333333,0.0,8.9,1.4,3.51,-0.4362443686785249,1
1,17,4,9500,1,1,150.0,38,37,9,9,0.25991753028946074,0,0,0,1,1,1,,0.0,7.0,7.0,7.0,14.84285714,0.0,0.0,8.0,9.0,8.0,15.05555556,0.0,16.2,0.3,-0.92,-0.23633226597732665,1
2,39,1,8014,0,1,120.0,37,37,9,6,-0.7162493259820208,0,0,0,1,1,0,1.3727293312146835,0.0,6.0,8.0,6.0,12.0,0.0,0.0,6.0,6.0,6.0,11.66666667,0.0,10.8,1.4,1.74,1.9826977906803511,1
1,1,6,9853,1,1,114.0,19,19,9,9,-1.1972590812462285,1,0,0,1,1,0,,0.0,6.0,8.0,5.0,12.2,0.0,0.0,6.0,7.0,5.0,12.2,0.0,10.8,1.4,1.74,0.022736522604054083,0
1,39,1,9991,0,2,140.0,3,3,2,2,2.021262075301044,1,0,0,1,1,0,1.4371080958761733,0.0,2.0,1.0,0.0,7.399999999999999,0.0,0.0,5.0,0.0,0.0,6.875000005,0.0,10.8,1.4,1.74,0.7415317610044794,0
1,39,1,9003,1,4,160.0,3,3,4,2,2.3360405180842423,0,0,1,1,1,0,0.5063013476928101,0.0,10.0,16.0,6.0,12.16666667,0.0,0.0,10.0,14.0,10.0,13.3,0.0,12.4,0.5,1.79,-0.5937026413069112,0
2,39,1,8014,0,1,130.0,37,37,9,6,-1.2114064269892937,1,0,0,1,0,0,1.3727293312146835,0.0,6.0,7.0,6.0,11.0,0.0,0.0,6.0,11.0,5.0,11.0,0.0,9.4,-0.8,-3.12,2.3325159587030386,1
1,42,1,9500,1,1,160.0,37,38,9,7,2.3360405180842423,1,0,0,1,0,1,,0.0,8.0,8.0,7.0,13.08,0.0,0.0,8.0,8.0,7.0,13.08,0.0,10.8,1.4,1.74,-0.8370978253376826,1
1,39,1,9670,1,1,120.0,1,19,4,5,-1.9187737141425407,0,0,0,1,0,1,0.6612374135900692,0.0,5.0,7.0,4.0,10.5,0.0,0.0,5.0,7.0,5.0,11.6,0.0,9.4,-0.8,-3.12,1.3580224906398377,1
1,17,1,9070,1,1,124.0,19,38,4,0,-0.6738072887528264,1,0,0,1,1,0,,0.0,6.0,9.0,6.0,10.66666667,0.0,0.0,6.0,6.0,5.0,11.2,0.0,7.6,2.6,0.32,-0.1998412168081369,1
1,39,1,9500,1,1,133.1,1,1,4,10,-1.862184331170281,0,0,0,1,1,0,0.5063013476928101,0.0,7.0,16.0,0.0,7.399999999999999,0.0,0.0,7.0,7.0,0.0,6.875000005,0.0,13.9,-0.3,0.79,1.1260002363390758,0
1,17,2,9773,1,1,133.1,19,1,9,9,-1.5650900705659172,1,0,0,0,0,0,,0.0,6.0,6.0,6.0,14.0,0.0,0.0,6.0,6.0,6.0,13.5,0.0,8.9,1.4,3.51,0.38352902257663685,1
1,15,1,9130,1,1,133.1,1,1,4,4,-1.9187737141425407,0,0,0,1,0,0,0.7862116633496432,0.0,6.0,7.0,2.0,12.0,0.0,0.0,6.0,6.0,0.0,6.875000005,0.0,8.9,1.4,3.51,1.552921184252478,0
2,39,1,9853,1,10,133.1,37,34,0,0,-0.8223544190550078,0,0,0,1,0,0,1.4371080958761733,0.0,6.0,12.0,3.0,12.66666667,0.0,0.0,6.0,14.0,0.0,6.875000005,0.0,7.6,2.6,0.32,2.222832711215406,0
2,39,1,8014,0,1,133.1,37,19,9,9,-0.9284595121279949,0,0,0,1,0,0,1.4371080958761733,0.0,8.0,11.0,8.0,11.875,0.0,0.0,6.0,7.0,6.0,12.33333333,0.0,12.7,3.7,-1.7,2.2983232054376628,1
1,1,5,9773,1,1,135.0,37,1,5,5,-0.15742916913095534,1,0,0,1,0,0,,0.0,6.0,6.0,6.0,13.66666667,0.0,0.0,6.0,6.0,6.0,13.33333333,0.0,8.9,1.4,3.51,-0.7056566310792711,1
1,1,5,9500,1,1,132.0,37,37,7,7,-0.4828181212214495,1,0,0,1,0,1,,0.0,7.0,7.0,7.0,13.75,0.0,0.0,8.0,9.0,8.0,14.47777778,0.0,12.4,0.5,1.79,-0.5982549203099797,1
1,1,4,9500,1,1,115.0,3,3,2,2,-1.1053013339163067,1,0,1,0,0,0,,0.0,7.0,10.0,4.0,11.96,0.0,0.0,7.0,7.0,0.0,6.875000005,0.0,13.9,-0.3,0.79,-0.19330119170292648,0
1,53,1,9085,1,42,130.0,38,38,9,9,0.11844407285881138,0,0,0,1,0,0,,0.0,10.0,12.0,8.0,12.875,0.0,0.0,9.0,14.0,5.0,13.4,0.0,8.9,1.4,3.51,-0.33674875816572986,0
1,1,4,171,1,1,133.1,1,1,9,10,-1.2114064269892937,1,0,0,1,0,0,,0.0,2.0,0.0,0.0,7.399999999999999,0.0,0.0,2.0,0.0,0.0,6.875000005,0.0,16.2,0.3,-0.92,0.02916776146274543,1
2,39,1,8014,0,1,130.0,37,37,6,5,-0.9638278764856573,1,0,0,1,0,0,1.4371080958761733,0.0,6.0,0.0,0.0,7.399999999999999,0.0,0.0,6.0,0.0,0.0,6.875000005,0.0,9.4,-0.8,-3.12,2.323930113169442,0
4,39,1,9003,1,12,133.1,37,37,9,6,2.325430008776941,0,0,0,1,0,0,1.4371080958761733,0.0,10.0,16.0,10.5,14.63157895,0.0,0.0,10.0,14.0,12.0,14.23076923,0.0,15.5,2.8,-4.06,0.6271523895924368,1
1,18,1,9853,1,1,123.0,19,19,9,7,-0.6879546344958906,1,0,0,1,0,0,,0.0,6.0,0.0,0.0,7.399999999999999,0.0,0.0,6.0,0.0,0.0,6.875000005,0.0,11.1,0.6,2.02,-0.36020704844945234,0
1,51,1,9070,1,1,130.0,3,1,2,8,-0.3484183366623322,0,0,1,1,0,0,,0.0,10.0,12.0,10.0,13.0,0.0,0.0,10.0,11.0,11.0,12.27272727,0.0,11.1,0.6,2.02,-0.3246135303203543,1
1,1,2,9238,1,1,122.0,37,38,4,7,-0.631365251523631,1,0,0,1,0,0,,0.0,6.0,0.0,0.0,7.399999999999999,0.0,0.0,6.0,0.0,0.0,6.875000005,0.0,16.2,0.3,-0.92,-0.38155552764557216,0
1,1,1,9085,1,1,113.0,1,1,4,4,-1.444837631749865,1,0,0,1,0,0,,0.0,6.0,15.0,4.0,14.2,0.0,0.0,6.0,16.0,4.0,13.25,0.0,15.5,2.8,-4.06,0.13876402778662938,0
1,1,5,9500,1,1,111.0,3,4,4,3,-1.338732538676878,1,0,0,1,0,0,,0.0,7.0,9.0,6.0,13.26666667,0.0,0.0,7.0,10.0,5.0,12.3,0.0,12.4,0.5,1.79,0.0881188030528568,0
1,1,1,9238,1,1,142.0,37,37,6,7,0.6348221924806804,1,0,0,1,0,0,,0.0,6.0,8.0,6.0,13.85714286,0.0,0.0,6.0,6.0,6.0,15.0,0.0,13.9,-0.3,0.79,-0.9367986446596178,1
1,1,1,9085,1,1,131.0,19,19,9,9,0.896548088727383,1,0,0,1,0,0,,0.0,5.0,6.0,5.0,13.4,0.0,0.0,5.0,5.0,5.0,12.8,0.0,10.8,1.4,1.74,-0.8656070967146771,1
1,1,3,9773,1,1,158.0,1,38,4,7,2.113219822630967,1,0,0,1,0,0,,0.0,6.0,6.0,6.0,12.66666667,0.0,0.0,6.0,7.0,6.0,12.57142857,0.0,10.8,1.4,1.74,-1.2799375343720123,1
1,17,2,9500,1,1,122.0,37,37,9,9,0.2740648760325249,1,0,0,1,0,0,,0.0,7.0,7.0,6.0,12.51666667,0.0,0.0,7.0,7.0,6.0,12.51666667,0.0,7.6,2.6,0.32,-0.8364475328612638,0
1,1,2,9085,1,1,140.0,37,38,9,7,0.6984852483244731,0,0,0,1,0,0,,0.0,5.0,12.0,5.0,13.14285714,0.0,0.0,5.0,6.0,5.0,11.4,0.0,9.4,-0.8,-3.12,-0.9537320868823544,1
1,1,1,9147,1,1,127.0,2,19,4,5,-0.37671302814846247,0,0,0,1,0,0,,0.0,5.0,5.0,5.0,12.6,0.0,0.0,5.0,5.0,5.0,14.0,0.0,11.1,0.6,2.02,-0.634168589390844,1
1,17,1,9254,1,1,133.1,1,1,4,5,0.2740648760325249,1,0,0,1,0,0,,0.0,6.0,12.0,3.0,11.0,0.0,0.0,6.0,12.0,2.0,11.0,0.0,9.4,-0.8,-3.12,-0.3901146467254469,0
1,1,2,9147,1,1,120.0,19,19,9,7,-0.6030705600375017,1,0,0,1,0,0,,0.0,5.0,8.0,5.0,10.8,0.0,0.0,5.0,9.0,4.0,11.25,0.0,16.2,0.3,-0.92,-0.39212176481936784,1
1,1,1,171,1,1,137.0,3,19,2,9,-0.34134466379080014,0,0,0,1,0,0,,0.0,2.0,0.0,0.0,7.399999999999999,0.0,0.0,2.0,0.0,0.0,6.875000005,0.0,10.8,1.4,1.74,-0.4865828884004816,0
1,1,1,9670,1,1,131.0,38,38,9,9,0.05478101701501875,0,0,0,1,0,1,,0.0,5.0,5.0,5.0,12.8,0.0,0.0,5.0,5.0,5.0,14.2,0.0,9.4,-0.8,-3.12,-0.6191554214977754,1
1,1,1,9085,1,1,130.0,19,38,4,7,-0.41208139250612486,1,0,0,1,0,0,,0.0,6.0,15.0,6.0,14.16666667,0.0,0.0,6.0,13.0,6.0,12.2,0.0,15.5,2.8,-4.06,-0.46162112449878595,1
1,17,6,9556,1,1,122.0,1,1,4,5,-0.7091756531104888,1,0,0,1,0,0,,0.0,7.0,12.0,5.0,12.1,0.0,0.0,7.0,0.0,0.0,6.875000005,0.0,13.9,-0.3,0.79,-0.35212616595271373,0
1,44,1,9085,1,39,160.0,37,37,9,9,2.325430008776941,1,0,0,1,0,0,,0.0,6.0,7.0,6.0,14.16666667,0.0,0.0,6.0,16.0,5.0,13.77777778,0.0,12.4,0.5,1.79,-1.078211179518165,1
1,17,3,9238,1,1,131.0,1,39,5,3,-0.32012364517620295,1,0,0,1,0,0,,0.0,6.0,7.0,6.0,13.0,0.0,0.0,6.0,6.0,6.0,13.66666667,0.0,12.4,0.5,1.79,-0.6529632142540439,1
1,17,6,9500,1,1,132.0,1,37,8,9,0.061854689886550816,1,0,0,1,0,0,,0.0,7.0,7.0,7.0,13.46714286,0.0,0.0,8.0,9.0,8.0,15.01111111,0.0,12.4,0.5,1.79,-0.6214173663635395,1
1,1,3,9500,1,1,138.0,19,19,5,8,-0.15742916913095534,1,0,0,1,0,1,,0.0,7.0,9.0,7.0,13.2375,0.0,0.0,8.0,9.0,7.0,13.74285714,0.0,13.9,-0.3,0.79,-0.7056566310792711,0
1,17,2,9070,1,1,130.0,37,37,9,9,-0.24231324358934517,1,0,0,1,0,0,,0.0,6.0,6.0,6.0,12.33333333,0.0,0.0,6.0,6.0,6.0,13.0,0.0,7.6,2.6,0.32,-0.6784088876490669,1
1,1,4,9147,1,1,126.0,1,19,4,8,-0.49696546696451466,1,0,0,1,0,0,,0.0,5.0,7.0,5.0,12.4,0.0,0.0,5.0,5.0,5.0,14.6,0.0,8.9,1.4,3.51,-0.43111830626220904,1
1,17,6,9500,1,1,148.0,1,19,3,3,0.32358058613325136,1,0,0,1,0,0,,0.0,7.0,8.0,5.0,14.0,0.0,0.0,7.0,7.0,0.0,6.875000005,0.0,13.9,-0.3,0.79,-0.7026945242090726,0
